group,total_volume,market_count
Sports,13181352943.0,3598566
Politics,2447937404.0,10557
Crypto,835368307.0,1868814
Finance,756455223.0,1674579
Weather,282861151.0,48665
Entertainment,209057565.0,48762
Other,156229518.0,20165
Media,50031659.0,18479
World Events,42483274.0,328
Esports,42066035.0,392738
Science/Tech,35169395.0,792
